Plot_ID, Average_Height, Standard_Deveatioin
1:1:1,0.507407,0.072661
2:1:1,0.339796,0.069233
3:1:1,0.274612,0.033811
4:1:1,0.264615,0.034594
5:1:1,0.284047,0.024687
6:1:1,0.243716,0.039182
7:1:1,0.190643,0.029386
8:1:1,0.220472,0.021943
1:1:2,0.543030,0.046451
2:1:2,0.427551,0.052506
3:1:2,0.369948,0.031636
4:1:2,0.316031,0.028674
5:1:2,0.263847,0.018847
6:1:2,0.263388,0.027020
7:1:2,0.124294,0.023421
8:1:2,0.217647,0.026159
1:1:3,0.505660,0.027578
2:1:3,0.463736,0.051762
3:1:3,0.440462,0.046224
4:1:3,0.310938,0.025505
5:1:3,0.250252,0.027224
6:1:3,0.306509,0.025579
7:1:3,0.101935,0.013093
8:1:3,0.203670,0.027142
1:1:4,0.432704,0.025094
2:1:4,0.420572,0.038891
3:1:4,0.378481,0.027638
4:1:4,0.288525,0.023639
5:1:4,0.263750,0.024686
6:1:4,0.281250,0.024148
7:1:4,0.109524,0.012449
8:1:4,0.200000,0.017000
1:1:5,0.442500,0.025694
2:1:5,0.441143,0.036707
3:1:5,0.440252,0.034103
4:1:5,0.302439,0.026254
5:1:5,0.293082,0.031084
6:1:5,0.332500,0.038944
7:1:5,0.114286,0.010431
8:1:5,0.184091,0.026565
1:2:1,0.211765,0.052411
2:2:1,0.323741,0.052026
3:2:1,0.220000,0.052933
4:2:1,0.212613,0.060021
5:2:1,0.130120,0.027406
6:2:1,0.103448,0.022402
7:2:1,0.207186,0.041625
8:2:1,0.452632,0.033019
1:2:2,0.454054,0.085727
2:2:2,0.315152,0.053003
3:2:2,0.192920,0.033932
4:2:2,0.396512,0.032313
5:2:2,0.312360,0.041757
6:2:2,0.143210,0.032824
7:2:2,0.243270,0.036397
8:2:2,0.380460,0.041687
1:2:3,0.476316,0.062071
2:2:3,0.370854,0.042769
3:2:3,0.266667,0.036222
4:2:3,0.378286,0.027186
5:2:3,0.314737,0.036730
6:2:3,0.173171,0.052451
7:2:3,0.277295,0.045040
8:2:3,0.412572,0.042128
1:2:4,0.556666,0.090789
2:2:4,0.327811,0.057511
3:2:4,0.264516,0.042289
4:2:4,0.429070,0.037527
5:2:4,0.427160,0.036299
6:2:4,0.200000,0.054340
7:2:4,0.365152,0.051816
8:2:4,0.389157,0.043979
1:2:5,0.497778,0.052662
2:2:5,0.302703,0.054858
3:2:5,0.252174,0.035539
4:2:5,0.403530,0.022811
5:2:5,0.449646,0.014840
